word,valence,arousal,dominance,n_collapsed
ambiguous,5.16,4.0,5.12,1
ambition,7.28,4.86,6.36,1
ambitious,6.33,5.76,5.88,1
ambrosia,5.95,4.05,5.67,1
ambulance,3.71,5.33,3.29,1
ambush,3.17,5.58,3.96,1
amend,6.265,3.505,5.46,1
amendment,5.6,3.5,4.77,1
amiable,6.7,2.85,6.14,1
amino,4.45,3.83,5.73,1
ammo,4.18,5.53,5.52,1
ammonia,3.74,3.0,3.83,1
ammonium,4.06,4.37,4.84,1
ammunition,4.59,5.7,5.95,1
amnesia,3.43,5.04,3.08,1
amnesty,5.38,3.86,6.0,1
amorous,5.95,4.21,6.0,1
amour,6.43,5.43,5.91,1
amp,5.79,5.05,5.13,1
amphibian,5.4,3.35,5.42,1
amphibious,5.75,5.7,4.85,1
ample,5.89,3.28,6.04,1
amputate,2.1,5.43,3.0,1
amputation,1.84,4.86,2.85,1
amuck,4.0,4.41,3.74,1
amulet,5.75,3.95,5.79,1
amuse,7.074999999999999,4.72,6.365,1
amusement,7.0,4.82,6.59,1
amusing,7.6,5.18,6.79,1
anaconda,4.43,6.0,4.08,1
anagram,4.37,3.86,4.83,1
anal,4.0,4.29,4.45,1
analogy,5.24,3.95,5.33,1
analysis,5.25,3.74,5.95,1
analyst,5.0,3.24,4.76,1
analytical,6.0,4.13,6.43,1
analyze,5.65,4.1,5.96,1
analyzer,4.62,3.48,5.88,1
anaphylactic,4.0,5.57,4.17,1
anarchist,2.76,4.16,4.57,1
anarchy,3.68,4.86,3.1,1
anatomy,6.29,4.43,5.95,1
ancestor,6.37,3.73,4.81,1
ancestral,6.6,3.6,5.05,1
ancestry,6.29,3.71,4.16,1
anchor,5.16,3.32,5.29,1
anchorage,5.09,3.82,5.8,1
ancient,7.24,3.48,4.86,1
android,5.62,3.5,5.75,1
anecdote,5.62,4.65,6.0,1
anemia,3.05,4.09,3.55,1
anemic,3.45,3.45,3.14,1
anesthesia,4.84,3.64,2.95,1
anesthesiologist,4.95,3.56,3.68,1
anesthetic,5.48,3.23,4.72,1
aneurysm,2.5,5.38,2.7,1
angel,7.71,4.24,5.9,1
angelic,6.68,4.27,6.32,1
anger,2.5,5.93,5.14,1
angina,2.85,4.72,4.0,1
angiogram,4.19,3.61,4.28,1
angle,4.55,3.22,5.27,1
angora,5.63,2.95,5.0,1
angry,2.53,6.2,4.11,1
angst,3.5,5.76,3.62,1
anguish,3.14,5.41,4.27,1
anguished,2.78,4.79,2.88,1
animal,7.06,4.3,5.72,1
animated,6.65,5.77,6.71,1
animation,6.42,5.52,5.16,1
animosity,3.4,5.83,5.04,1
ankle,5.4,3.11,5.58,1
anklet,4.75,3.57,5.08,1
annals,4.8,2.6,4.95,1
annex,4.41,4.0,5.26,1
annihilate,3.15,6.44,4.62,1
annihilation,2.58,5.52,3.2,1
anniversary,6.95,4.0,6.86,1
announce,5.52,3.65,5.48,1
announcement,5.81,4.3,5.05,1
announcer,5.84,4.5,4.07,1
annoy,2.745,5.295,3.96,1
annoyance,2.95,4.1,3.45,1
annoyed,2.8,5.29,4.08,1
annual,5.19,3.7,4.9,1
